ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
1-2,1,2,3,,,
1-3,1,3,1,,,
1-8,1,8,6,,,
1-9,1,9,3,,,
1-11,1,11,9,,,
1-12,1,12,4,,,
1-13,1,13,0,,,
1-14,1,14,5,,,
1-15,1,15,13,,,
1-16,1,16,"0,69",,,
1-19,1,19,A,,,
1-20,1,20,A,,,
1-21,1,21,A,,,
1-22,1,22,A,,,
1-23,1,23,N,,,
1-25,1,25,Y,,,
1-26,1,26,2,,,
1-31,1,31,Y,,,
1-32,1,32,Y,,,
1-34,1,34,N,,,
1-35,1,35,3,,,
1-39,1,39,--,,,
1-40,1,40,Y,,,
1-41,1,41,Y,,,
2-2,2,2,2,,,
2-3,2,3,2,,,
2-8,2,8,6,,,
2-9,2,9,2,,,
2-11,2,11,8,,,
2-12,2,12,4,,,
2-13,2,13,0,,,
2-14,2,14,4,,,
2-15,2,15,12,,,
2-16,2,16,"0,67",,,
2-19,2,19,A,,,
2-20,2,20,A,,,
2-21,2,21,A,,,
2-22,2,22,A,,,
2-23,2,23,N,,,
2-24,2,24,Y,,,
2-25,2,25,Y,,,
2-26,2,26,2,,,
2-27,2,27,Y,,,
2-29,2,29,Y,,,
2-31,2,31,Y,,,
2-34,2,34,N,,,
2-35,2,35,3,,,
2-39,2,39,?,,,
2-40,2,40,Y,,,
2-41,2,41,Y,,,
3-2,3,2,2,,,
3-3,3,3,0,,,
3-6,3,6,1,,,
3-8,3,8,0,,,
3-9,3,9,3,,,
3-11,3,11,2,,,
3-12,3,12,3,,,
3-13,3,13,0,,,
3-14,3,14,-1,,,
3-15,3,15,5,,,
3-16,3,16,"0,4",,,
3-19,3,19,N,,,
3-20,3,20,N,,,
3-21,3,21,A/N,,,
3-22,3,22,A,,,
3-23,3,23,Y,,,
3-24,3,24,Y,,,
3-25,3,25,Y,,,
3-26,3,26,15?,,,
3-27,3,27,Y,,,
3-29,3,29,Y,,,
3-31,3,31,Y,,,
3-32,3,32,Y,,,
3-34,3,34,Y,,,
3-35,3,35,2,,,
3-39,3,39,n/a,,,
3-40,3,40,Y,,,
3-41,3,41,Y,,,
3-42,3,42,Y,,,
3-43,3,43,Y,,,
4-2,4,2,3,,,
4-3,4,3,0,,,
4-6,4,6,2,,,
4-8,4,8,5,,,
4-9,4,9,2,,,
4-11,4,11,8,,,
4-12,4,12,2,,,
4-13,4,13,0,,,
4-14,4,14,6,,,
4-15,4,15,10,,,
4-16,4,16,"0,8",,,
4-19,4,19,A,,,
4-20,4,20,N,,,
4-21,4,21,A,,,
4-22,4,22,A,,,
4-23,4,23,N,,,
4-25,4,25,N,,,
4-34,4,34,N,,,
4-35,4,35,3,,,
4-36,4,36,N,,,
4-37,4,37,Y,,,
4-38,4,38,Y,,,
4-39,4,39,Y,,,
4-40,4,40,Y,,,
5-2,5,2,2,,,
5-3,5,3,1,,,
5-7,5,7,1,,,
5-8,5,8,4,,,
5-9,5,9,1,,,
5-10,5,10,1,,,
5-11,5,11,6,,,
5-12,5,12,2,,,
5-13,5,13,1,,,
5-14,5,14,3,,,
5-15,5,15,9,,,
5-16,5,16,"0,67",,,
5-19,5,19,A,,,
5-20,5,20,N,,,
5-21,5,21,N/A,,,
5-22,5,22,A,,,
5-23,5,23,N,,,
5-24,5,24,Y,,,
5-34,5,34,N,,,
5-35,5,35,2,,,
5-37,5,37,Y,,,
5-39,5,39,Y,,,
6-2,6,2,2,,,
6-3,6,3,2,,,
6-6,6,6,0,,,
6-7,6,7,2,,,
6-8,6,8,5,,,
6-9,6,9,2,,,
6-11,6,11,7,,,
6-12,6,12,4,,,
6-13,6,13,0,,,
6-14,6,14,3,,,
6-15,6,15,11,,,
6-16,6,16,"0,61",,,
6-19,6,19,N,,,
6-20,6,20,N,,,
6-21,6,21,A,,,
6-22,6,22,A,,,
6-23,6,23,N,,,
6-25,6,25,Y,,,
6-26,6,26,2,,,
6-29,6,29,Y,,,
6-32,6,32,Y,,,
6-34,6,34,N,,,
6-35,6,35,2,,,
6-40,6,40,Y,,,
